u'On My Cloud, Olly Murs'
u'Born On A Different Cloud, Oasis'
u'Beneath a Cloud, I Got You On Tape'
u'Under a Cloud, The Holloways'
u'From The Start, Boy Kid Cloud'
u'On A Bus To St. Cloud, Gretchen Peters'
u'On a Cloud, Soft Metals'
u'Just a Cloud Away, Pharrell Williams'
u'A Good God, Cloud Cult'
u'Prelude for a Ghost, Glass Cloud'
u'Sami joik, Kaj Roger Willumsen'
u'On A Bus To St. Cloud, Trisha Yearwood'
u"A Change of Days, Smith's Cloud"
u'Castle On a Cloud, Les Mis\xe9rables - International Cast'
u'Castle on a Cloud - Originally Performed by the Cast of Les Miserables, Vitamin String Quartet'
u'Imagine a Cloud, The GiggleBellies'
u'Cloud On My Tongue - 2006 Remastered, Tori Amos'
u'Lotus Cloud, Barn Owl'
u'Loading The Train / Casey Junior / Stork on a Cloud / Straight from Heaven / Mother and Baby / Arrival at Night, Chorus'
u'Castle on a Cloud, Samara Clarke'
u'a cloud on a leaf, Tin Hat'
u'A Cloud to the Back, Sam Prekop'
u'Pur\xe9e Hiphop, Gabl\xe9'
u'A Tree, A Rock and a Cloud, Aim'
u'Ridin On A Cloud - Instrumental, Rainman'
u'White Specks in a Black Cloud, Jonwayne'
u'Walking On A Cloud, Ti\xebsto'
